Plot,Observer,Date,Direction,Height,Distance,Score
CS_04,Yolanda,2019-07-11,260,1.5,15,5
CS_04,Yolanda,2019-07-11,260,2,15,4
CS_04,Yolanda,2019-07-11,260,2.5,15,1
CS_04,Yolanda,2019-07-11,260,0.5,20,5
CS_04,Yolanda,2019-07-11,260,1,20,5
CS_04,Yolanda,2019-07-11,260,1.5,20,5
CS_04,Yolanda,2019-07-11,260,2,20,5
CS_04,Yolanda,2019-07-11,260,2.5,20,1
CS_04,Yolanda,2019-07-11,260,0.5,25,5
CS_04,Yolanda,2019-07-11,260,1,25,5
CS_04,Yolanda,2019-07-11,260,1.5,25,5
CS_04,Yolanda,2019-07-11,260,2,25,5
CS_04,Yolanda,2019-07-11,260,2.5,25,2
CS_04,Yolanda,2019-07-11,260,0.5,30,5
CS_04,Yolanda,2019-07-11,260,1,30,5
CS_04,Yolanda,2019-07-11,260,1.5,30,5
CS_04,Yolanda,2019-07-11,260,2,30,5
CS_04,Yolanda,2019-07-11,260,2.5,30,5
CS_05,Yolanda,2019-07-11,20,0.5,5,1
CS_05,Yolanda,2019-07-11,20,1,5,1
CS_05,Yolanda,2019-07-11,20,1.5,5,1
CS_05,Yolanda,2019-07-11,20,2,5,1
CS_05,Yolanda,2019-07-11,20,2.5,5,1
CS_05,Yolanda,2019-07-11,20,0.5,10,3
CS_05,Yolanda,2019-07-11,20,1,10,3
CS_05,Yolanda,2019-07-11,20,1.5,10,1
CS_05,Yolanda,2019-07-11,20,2,10,1
CS_05,Yolanda,2019-07-11,20,2.5,10,1
CS_05,Yolanda,2019-07-11,20,0.5,15,5
CS_05,Yolanda,2019-07-11,20,1,15,5
CS_05,Yolanda,2019-07-11,20,1.5,15,4
CS_05,Yolanda,2019-07-11,20,2,15,5
CS_05,Yolanda,2019-07-11,20,2.5,15,5
CS_05,Yolanda,2019-07-11,20,0.5,20,5
CS_05,Yolanda,2019-07-11,20,1,20,5
CS_05,Yolanda,2019-07-11,20,1.5,20,5
CS_05,Yolanda,2019-07-11,20,2,20,5
CS_05,Yolanda,2019-07-11,20,2.5,20,5
CS_05,Yolanda,2019-07-11,20,0.5,25,5
CS_05,Yolanda,2019-07-11,20,1,25,5
CS_05,Yolanda,2019-07-11,20,1.5,25,5
CS_05,Yolanda,2019-07-11,20,2,25,5
CS_05,Yolanda,2019-07-11,20,2.5,25,5
CS_05,Yolanda,2019-07-11,20,0.5,30,5
CS_05,Yolanda,2019-07-11,20,1,30,5
CS_05,Yolanda,2019-07-11,20,1.5,30,5
CS_05,Yolanda,2019-07-11,20,2,30,5
CS_05,Yolanda,2019-07-11,20,2.5,30,5
CS_06,Gabby,2019-07-09,253,0.5,5,3
CS_06,Gabby,2019-07-09,253,1,5,5
CS_06,Gabby,2019-07-09,253,1.5,5,2
CS_06,Gabby,2019-07-09,253,2,5,2
CS_06,Gabby,2019-07-09,253,2.5,5,3
CS_06,Gabby,2019-07-09,253,0.5,10,5
CS_06,Gabby,2019-07-09,253,1,10,3
CS_06,Gabby,2019-07-09,253,1.5,10,4
CS_06,Gabby,2019-07-09,253,2,10,4
CS_06,Gabby,2019-07-09,253,2.5,10,3
CS_06,Gabby,2019-07-09,253,0.5,15,5
CS_06,Gabby,2019-07-09,253,1,15,5
CS_06,Gabby,2019-07-09,253,1.5,15,4
CS_06,Gabby,2019-07-09,253,2,15,5
CS_06,Gabby,2019-07-09,253,2.5,15,5
CS_06,Gabby,2019-07-09,253,0.5,20,5
CS_06,Gabby,2019-07-09,253,1,20,5
CS_06,Gabby,2019-07-09,253,1.5,20,5
CS_06,Gabby,2019-07-09,253,2,20,5
CS_06,Gabby,2019-07-09,253,2.5,20,5
CS_06,Gabby,2019-07-09,253,0.5,25,5
CS_06,Gabby,2019-07-09,253,1,25,5
CS_06,Gabby,2019-07-09,253,1.5,25,5
CS_06,Gabby,2019-07-09,253,2,25,5
CS_06,Gabby,2019-07-09,253,2.5,25,5
CS_06,Gabby,2019-07-09,253,0.5,30,5
CS_06,Gabby,2019-07-09,253,1,30,5
CS_06,Gabby,2019-07-09,253,1.5,30,5
CS_06,Gabby,2019-07-09,253,2,30,5
CS_06,Gabby,2019-07-09,253,2.5,30,5
CS_07,Gabby,2019-07-10,308,0.5,5,3
CS_07,Gabby,2019-07-10,308,1,5,1
CS_07,Gabby,2019-07-10,308,1.5,5,1
CS_07,Gabby,2019-07-10,308,2,5,3
CS_07,Gabby,2019-07-10,308,2.5,5,2
CS_07,Gabby,2019-07-10,308,0.5,10,5
CS_07,Gabby,2019-07-10,308,1,10,2
CS_07,Gabby,2019-07-10,308,1.5,10,2
CS_07,Gabby,2019-07-10,308,2,10,4
CS_07,Gabby,2019-07-10,308,2.5,10,3
CS_07,Gabby,2019-07-10,308,0.5,15,5
CS_07,Gabby,2019-07-10,308,1,15,5
CS_07,Gabby,2019-07-10,308,1.5,15,4
CS_07,Gabby,2019-07-10,308,2,15,5
CS_07,Gabby,2019-07-10,308,2.5,15,5
CS_07,Gabby,2019-07-10,308,0.5,20,5
CS_07,Gabby,2019-07-10,308,1,20,5
CS_07,Gabby,2019-07-10,308,1.5,20,5
CS_07,Gabby,2019-07-10,308,2,20,5
CS_07,Gabby,2019-07-10,308,2.5,20,5
CS_07,Gabby,2019-07-10,308,0.5,25,5
CS_07,Gabby,2019-07-10,308,1,25,5
CS_07,Gabby,2019-07-10,308,1.5,25,5
CS_07,Gabby,2019-07-10,308,2,25,5
CS_07,Gabby,2019-07-10,308,2.5,25,5
CS_07,Gabby,2019-07-10,308,0.5,30,5
CS_07,Gabby,2019-07-10,308,1,30,5
CS_07,Gabby,2019-07-10,308,1.5,30,5
CS_07,Gabby,2019-07-10,308,2,30,5
CS_07,Gabby,2019-07-10,308,2.5,30,5
CS_08,Gabby,2019-07-11,211,0.5,5,5
CS_08,Gabby,2019-07-11,211,1,5,4
CS_08,Gabby,2019-07-11,211,1.5,5,3
CS_08,Gabby,2019-07-11,211,2,5,3
CS_08,Gabby,2019-07-11,211,2.5,5,4
CS_08,Gabby,2019-07-11,211,0.5,10,5
CS_08,Gabby,2019-07-11,211,1,10,5
CS_08,Gabby,2019-07-11,211,1.5,10,5
CS_08,Gabby,2019-07-11,211,2,10,5
CS_08,Gabby,2019-07-11,211,2.5,10,5
CS_08,Gabby,2019-07-11,211,0.5,15,5
CS_08,Gabby,2019-07-11,211,1,15,5
CS_08,Gabby,2019-07-11,211,1.5,15,5
CS_08,Gabby,2019-07-11,211,2,15,5
CS_08,Gabby,2019-07-11,211,2.5,15,5
CS_08,Gabby,2019-07-11,211,0.5,20,5
CS_08,Gabby,2019-07-11,211,1,20,5
CS_08,Gabby,2019-07-11,211,1.5,20,5
CS_08,Gabby,2019-07-11,211,2,20,5
CS_08,Gabby,2019-07-11,211,2.5,20,5
CS_08,Gabby,2019-07-11,211,0.5,25,5
CS_08,Gabby,2019-07-11,211,1,25,5
