,BadPoint,Var_X,Var_Y,Cov_XY,AngleDiff,Date,Time,Frequency,coords.x1,coords.x2,datetime
44,0,9.147389292,14.025994,8.211842066,1.768961859,2017-08-17,103859,149.452,-53.98432239,48.35153194,2017-08-17 10:38
45,1,0,0,0,0,2017-08-18,160611,149.452,-53.98565143,48.35122939,2017-08-18 16:06
46,1,0,0,0,0,2017-08-19,147514,149.452,-53.98419572,48.35180109,2017-08-19 15:15
47,1,0,0,0,0,2017-08-20,99132,149.452,-53.9835655,48.35265188,2017-08-20 9:51
48,1,0,0,0,0,2017-08-21,112234,149.452,-53.9842309,48.35190565,2017-08-21 11:22
49,1,0,0,0,0,2017-08-22,148832,149.452,-53.9855993,48.35174527,2017-08-22 15:28
50,0,3689.374446,1431.075693,2288.573884,7.229222699,2017-08-23,115032,149.452,-53.98401538,48.35180688,2017-08-23 11:50
51,0,66.92560826,23.8333839,33.84884889,2.327361169,2017-08-24,95403,149.452,-53.98439458,48.3517023,2017-08-24 9:54
52,0,3982.267154,2889.357488,-1061.251985,10.22447368,2017-08-29,150634,149.452,-53.98542222,48.35100535,2017-08-29 15:06
53,1,0,0,0,0,2017-08-30,106854,149.452,-53.98449505,48.35181481,2017-08-30 11:18
54,0,607.0309771,623.3625903,182.7908182,5.194703011,2017-08-31,143011,149.452,-53.98398508,48.35206191,2017-08-31 14:30
55,1,0,0,0,0,2017-09-01,97182,149.452,-53.98572537,48.35072302,2017-09-01 10:11
56,1,0,0,0,0,2017-06-25,71900,149.535,-53.98193267,48.35144392,2017-06-25 7:19
57,1,0,0,0,0,2017-06-25,192328,149.535,-53.98092338,48.35305805,2017-06-25 19:23
58,0,581.2584235,152.5953744,-139.8137903,3.19650614,2017-06-26,72258,149.535,-53.98413342,48.35191428,2017-06-26 7:22
59,0,227.1882899,428.274548,289.4503021,2.3595434,2017-06-27,185920,149.535,-53.98124263,48.35410743,2017-06-27 18:59
60,0,134.1525135,70.99199165,-42.80904175,0.972149046,2017-06-28,73159,149.535,-53.98784959,48.35346047,2017-06-28 7:31
61,0,373.8226847,193.3434226,-36.46550327,3.276003237,2017-07-16,103706,149.535,-53.98095364,48.35183634,2017-07-16 10:37
62,0,141.0333771,192.247115,-7.810574494,90.68436901,2017-07-16,176209,149.535,-53.97995466,48.35189759,2017-07-16 18:12
63,1,0,0,0,0,2017-07-19,94613,149.535,-53.983242,48.35111511,2017-07-19 9:46
64,0,-177.8497893,-6.60264035,490.5076977,24.72538347,2017-07-19,173344,149.535,-53.98349226,48.3518513,2017-07-19 17:33
65,1,0,0,0,0,2017-07-22,102653,149.535,-53.98306002,48.35170535,2017-07-22 10:26
66,0,21.13108593,62.85894126,3.082097314,1.551952246,2017-07-24,101426,149.535,-53.98382986,48.35214324,2017-07-24 10:14
67,1,0,0,0,0,2017-07-27,175208,149.535,-53.98165459,48.35103993,2017-07-27 17:52
68,1,0,0,0,0,2017-07-29,135251,149.535,-53.98213422,48.35115654,2017-07-29 13:52
69,1,0,0,0,0,2017-08-03,176586,149.535,-53.98202961,48.35159271,2017-08-03 18:05
70,1,0,0,0,0,2017-08-05,107218,149.535,-53.98281605,48.3520412,2017-08-05 11:12
71,0,137.118125,261.2672457,-49.4897812,2.67012902,2017-08-08,143342,149.535,-53.98291426,48.35118282,2017-08-08 14:33
72,0,99.36889788,151.2627944,-10.73275258,3.951630218,2017-08-10,194130,149.535,-53.98055144,48.35120578,2017-08-10 19:41
73,1,0,0,0,0,2017-08-11,81420,149.535,-53.98125591,48.35126902,2017-08-11 8:14
74,0,328.2750348,150.0787083,-17.61988899,4.407067336,2017-08-11,190011,149.535,-53.98133026,48.35217148,2017-08-11 19:00
75,0,356.4844034,461.9351611,-161.7622345,5.332004218,2017-08-12,68270,149.535,-53.98114749,48.35141289,2017-08-12 7:22
76,0,33.27412856,27.10742545,8.268793824,1.029006704,2017-08-12,183577,149.535,-53.98018044,48.35213764,2017-08-12 18:35
77,0,212.3404399,342.1498348,21.20634433,3.659462802,2017-08-13,121957,149.535,-53.98335255,48.35162213,2017-08-13 12:19
78,0,705.9933152,989.8813732,-48.14116096,7.732128545,2017-08-15,100002,149.535,-53.98408595,48.352116,2017-08-15 10:00
79,1,0,0,0,0,2017-08-16,97677,149.535,-53.98038507,48.35100304,2017-08-16 10:16
80,0,0.162932896,0.246763285,-0.076873707,0.134729641,2017-08-17,101145,149.535,-53.98054398,48.35081729,2017-08-17 10:11
81,0,648.447815,574.8406674,-195.3885548,6.914591807,2017-08-18,163582,149.535,-53.98105288,48.35107344,2017-08-18 16:35
82,0,54.00713105,47.6254836,9.518665579,2.36359776,2017-08-19,148342,149.535,-53.98117175,48.35149532,2017-08-19 15:23
83,0,3.661408318,7.220612211,-1.542139129,0.492498774,2017-08-20,99030,149.535,-53.98296545,48.35148569,2017-08-20 10:30
