.id,rank,model,ΔAICc,ΔRMSPE (μm),DOF[area],ΔRMSPE (cm),ΔRMSPE (m)
149.093,1,IID isotropic error,0,305269.1137389445,13.020076626328125,NA,NA
149.093,2,OUf isotropic error,2.461905006138579,2.301637067603224,12.939276898847355,NA,NA
149.093,3,OU isotropic error,2.5098605160839043,458774.4094673667,12.859114454890415,NA,NA
149.093,4,OUF isotropic error,5.461904954753265,0,12.939277355998374,NA,NA
149.093,5,OUF anisotropic error,6.865318778674691,3329984.9976979773,11.815858035800947,NA,NA
149.124,1,IID isotropic error,0,0,13.132803595965472,NA,NA
149.124,2,OU isotropic error,2.691666670788493,0.09519114030354103,1.3757723030103824e-13,NA,NA
149.124,3,OUf isotropic error,5.767857146978997,0.09519114030354103,13.132804892328984,NA,NA
149.124,4,OUf anisotropic error,8.951675372394675,916008.0897749197,4.994520076306821e-6,NA,NA
149.173,1,IID isotropic error,0,NA,14.139238743003563,0,NA
149.173,2,OU isotropic error,2.5236734630705087,NA,13.970985840840227,44.19538736172228,NA
149.173,3,OUf isotropic error,2.531455736417456,NA,13.888192456830916,74.88530293292683,NA
149.173,4,OUF isotropic error,5.269573447132757,NA,13.888140252681831,74.90099954632399,NA
149.173,5,OUF anisotropic error,5.998878230918876,NA,11.81470381997485,173.2807437537133,NA
149.213,1,IID anisotropic error,0,NA,12.6723327634324,582.2588779196777,NA
149.213,2,OUf anisotropic error,2.645266588232971,NA,12.516952879581766,675.0648551657249,NA
149.213,3,OU anisotropic error,2.771469088970548,NA,12.56896887704869,656.6873616333694,NA
149.213,4,OUΩ anisotropic error,4.890200848824179,NA,12.211539674366673,558.028677456987,NA
149.213,5,OUF anisotropic error,5.859560035147183,NA,12.516917801672875,675.100197780803,NA
149.213,6,IID isotropic error,21.119538225285282,NA,17.828407138296146,0,NA
149.213,7,OUf isotropic error,23.393200014197646,NA,17.453576339453427,74.16875190105543,NA
149.213,8,OU isotropic error,23.487285077834372,NA,17.514047741038073,56.910352750857385,NA
149.213,9,OUF isotropic error,26.0611839697674,NA,17.45357740086872,74.1685504749853,NA
149.213,10,OUΩ isotropic error,26.373152625411763,NA,12.110071029437849,37.248147545339805,NA
149.233,1,IID isotropic error,0,1.1168057199029136,30.47466793314395,NA,NA
149.233,2,OUf isotropic error,2.247386719478982,0,1.6765045838787078e-17,NA,NA
149.233,3,OU isotropic error,2.247386742164622,0.6317469569694367,1.7434257466695204,NA,NA
149.233,4,OUΩ isotropic error,4.607142857895155,1.13775408294714,30.474661764490396,NA,NA
149.233,5,OUF isotropic error,4.607142860815088,1.2190589444571742,2.0110452809910296e-17,NA,NA
149.233,6,OUF anisotropic error,7.401283281279007,2301356.85321649,30.698279874835297,NA,NA
149.294,1,IID anisotropic error,0,NA,23.6296500380854,0,NA
149.294,2,OU anisotropic error,1.7678461609524447,NA,22.171169300296732,70.75852680606545,NA
149.294,3,OUf anisotropic error,2.3720142045841612,NA,22.395138752262707,31.047985550442547,NA
149.294,4,OUF anisotropic error,4.675638955304407,NA,22.766700078604785,11.052709864904386,NA
149.294,5,IID isotropic error,5.444891525664957,NA,25.407769517708335,259.4735131083283,NA
149.294,6,OU isotropic error,5.958661270854577,NA,23.496026219079038,385.7702102121124,NA
149.294,7,OUf isotropic error,6.2392781399897785,NA,23.705602714548437,373.1108267810697,NA
149.294,8,OUF isotropic error,8.455936515855797,NA,23.956110599257375,317.14564195802666,NA
149.394,1,OUf isotropic error,0,NA,13.543145264954385,NA,7.177055691749587
149.394,2,OU isotropic error,0.6187893039299297,NA,11.306687813306457,NA,13.571237685847763
149.394,3,IID isotropic error,2.622090966460746,NA,16.57284990590331,NA,0
149.394,4,OUF isotropic error,2.7789473739363757,NA,8.55216975225542,NA,7.177056698474644
149.394,5,OUF anisotropic error,4.938186405697593,NA,9.580604465900642,NA,35.09265405103787
149.423,1,IID anisotropic error,0,315281.3347520436,27.528751554796003,NA,NA
149.423,2,OUf anisotropic error,2.544286371263979,154110.44131650444,27.492821393534623,NA,NA
149.423,3,OU anisotropic error,2.5657148396140883,174978.74515140668,27.506698797251495,NA,NA
149.423,4,OUΩ anisotropic error,5.352854109007126,156850.0827863062,27.508966541104538,NA,NA
149.423,5,OUF anisotropic error,5.358078998968267,154098.65092036058,27.49283070342096,NA,NA
149.423,6,IID isotropic error,6.529254646435561,188210.04417127086,29.103336724981933,NA,NA
149.423,7,OUf isotropic error,8.527721370158474,0,29.025002236838112,NA,NA
149.423,8,OU isotropic error,8.58654172629872,19578.80525672806,29.036860380701437,NA,NA
149.423,9,OUΩ isotropic error,10.995463328054598,0.5201358845852155,29.025001597214057,NA,NA
