.id,rank,model,ΔAICc,ΔRMSPE (μm),DOF[area],ΔRMSPE (cm),ΔRMSPE (m)
149.513,5,OUF isotropic error,4.548535319539383,NA,8.607843729564987,NA,7.5771668535399215
149.513,6,OUF anisotropic error,12.947179440617276,NA,9.078260996733613,NA,7.1910553210519765
149.535,1,OU anisotropic error,0,NA,18.382603175625754,NA,1.7833400930264673
149.535,2,OUf anisotropic error,0.09755053932735791,NA,20.01900888292435,NA,0
149.535,3,OU isotropic error,1.0771850182942444,NA,21.3171754360492,NA,5.404047397717022
149.535,4,OUf isotropic error,1.2285033861721786,NA,23.43669087870121,NA,3.5664004742775433
149.535,5,IID anisotropic error,2.3624493541926768,NA,22.379860306920328,NA,2.516000399755896
149.535,6,OUF anisotropic error,2.77508629882675,NA,18.80769658682502,NA,1.4125708128588315
149.535,7,OUF isotropic error,3.546166354248953,NA,20.334399385694894,NA,5.410393383952837
149.535,8,IID isotropic error,4.835401830314936,NA,26.459187691424777,NA,4.543767834432529
149.594,1,IID anisotropic error,0,1973323.3398850132,30.492228204094605,NA,NA
149.594,2,OU anisotropic error,2.610221518793651,1966906.3241688036,30.491493551267688,NA,NA
149.594,3,IID isotropic error,2.8215895929979524,9501.069926784567,29.68476932181829,NA,NA
149.594,4,OUf isotropic error,5.11609963352862,0,29.681780243848458,NA,NA
149.594,5,OU isotropic error,5.124877084420746,6839.4654642531805,29.683631127329424,NA,NA
149.594,6,OUF anisotropic error,5.393423870256925,1957036.4510518915,30.489679310301803,NA,NA
149.594,7,OUF isotropic error,7.568751176046703,0.19297823428132688,29.68178013690324,NA,NA
149.594,8,OUf anisotropic error,347.9400274070365,48319541520968896,9.035221954092653e-21,NA,NA
149.613,1,IID isotropic error,0,0.37212222991911403,21.928514080732004,NA,NA
149.613,2,OUf isotropic error,2.4266666747121235,0.6594933950054838,4.3499892325264565e-14,NA,NA
149.613,3,OU isotropic error,2.4266666910488084,1.2430091658188758,4.317266703940007e-14,NA,NA
149.613,4,OUΩ isotropic error,5.064347815668725,0,15.14234893187931,NA,NA
149.613,5,OUF isotropic error,5.064347824784477,0.3255999274642818,21.92137153688043,NA,NA
149.613,6,OUf anisotropic error,5.5290119294531905,1827432.453512671,5.920874261749646e-11,NA,NA
149.633,1,IID isotropic error,0,0,13.179444288956198,NA,NA
149.633,2,OUf isotropic error,2.4092307969096964,1.400620362801419,13.179444007085339,NA,NA
149.633,3,OU isotropic error,2.409230801135436,1.1043007361877244,13.179444067026372,NA,NA
149.633,4,OUΩ isotropic error,5.019230787008269,0.8995695282010274,13.179441997950038,NA,NA
149.633,5,OUF isotropic error,5.019231139053659,1.5350903481703426,13.179443913958051,NA,NA
149.633,6,OUF anisotropic error,10.801157298310613,2214008.8346959604,11.891952156993048,NA,NA
149.673,1,IID isotropic error,0,NA,23.74258243444653,NA,2.466124531343496
149.673,2,OUf isotropic error,2.146193494214913,NA,23.623780021233223,NA,2.471436399765082
149.673,3,OU isotropic error,2.262532258642864,NA,23.704642581249097,NA,2.4371995821739887
149.673,4,OUΩ isotropic error,4.305641296077397,NA,0.038485174477047114,NA,2.182100558127132
149.673,5,OUF isotropic error,4.647342911825945,NA,23.623780177119386,NA,2.471436128016748
149.673,6,OUF anisotropic error,8.557119595320955,NA,20.184360408918675,NA,0
150.032,1,OU anisotropic error,0,NA,13.586040749279837,857.3761071796525,NA
150.032,2,OUf anisotropic error,0.2410921748077044,NA,13.525124566940194,1264.2422939686128,NA
150.032,3,IID anisotropic error,0.46366357705881,NA,15.070676658804434,0,NA
150.032,4,OUF anisotropic error,3.3279765542457653,NA,6.543424708904388e-6,705.7302448150438,NA
