"","event.id","visible","timestamp","location.long","location.lat","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name","utm.easting","utm.northing","utm.zone","X","COV.x.y","COV.x.x","COV.y.y"
"23",15113907483,"true","2017-09-01 09:07:00.000",-53.9891409,48.34879929,"radio-transmitter",NA,149.394,149.394,"Snowshoe Hare Space Use - Razimuth",278542.338747197,5359387.27520642,"22N",24,2107.370565,4561.08844,8085.839061
"24",15113907373,"true","2017-07-16 10:22:00.000",-53.98589762,48.34956997,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278785.937842821,5359463.55554211,"22N",25,567.6873998,1718.818312,2465.841903
"25",15113907377,"true","2017-07-16 17:32:00.000",-53.9859415,48.35102773,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278789.001802626,5359625.6905843,"22N",26,-64.92999142,598.0395596,390.6914347
"26",15113907381,"true","2017-07-19 09:17:00.000",-53.98426881,48.35118654,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278913.596155155,5359638.51180161,"22N",27,327.6975445,316.2497135,727.9897879
"27",15113907385,"true","2017-07-19 16:38:00.000",-53.98504788,48.35136012,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278856.637323576,5359660.0510601,"22N",28,639.1843712,1182.036478,853.5697329
"28",15113907389,"true","2017-07-22 10:34:00.000",-53.98438019,48.3511171,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278905.044915946,5359631.11598582,"22N",29,70.87839064,317.9798879,299.6860802
"29",15113907392,"true","2017-07-24 09:44:00.000",-53.98295943,48.35200471,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",279014.130560824,5359725.66169189,"22N",30,-180.3476745,715.8688326,1098.397641
"30",15113907396,"true","2017-07-27 16:05:00.000",-53.98431227,48.35110875,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278910.040025123,5359629.99200864,"22N",31,-118.9172993,114.646889,614.6451717
"31",15113907400,"true","2017-07-29 12:39:00.000",-53.98480888,48.35130568,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278874.10573316,5359653.31103922,"22N",32,33.98755536,236.3552482,263.950936
"32",15113907404,"true","2017-08-03 16:54:00.000",-53.98630812,48.35124053,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278762.765826606,5359650.3987389,"22N",33,26.69012403,491.4644036,418.6620362
"33",15113907407,"true","2017-08-05 09:59:00.000",-53.98453718,48.35104478,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278893.10256269,5359623.53173852,"22N",34,-78.88161538,1100.674222,1507.241168
"34",15113907411,"true","2017-08-08 14:13:00.000",-53.98568459,48.35199398,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278812.217951118,5359732.333187,"22N",35,236.9944213,717.2919942,2185.302927
"35",15113907414,"true","2017-08-10 18:26:00.000",-53.98278383,48.35179843,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",279026.245515482,5359702.23024359,"22N",36,-239.7341578,566.9079977,3756.484754
"36",15113907418,"true","2017-08-11 06:29:00.000",-53.98560974,48.3501474,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278809.764495251,5359526.89715884,"22N",37,232.292822,985.7646384,1805.33223
"37",15113907421,"true","2017-08-11 18:07:00.000",-53.98441707,48.35150566,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278903.995260435,5359674.40509245,"22N",38,201.0307267,312.7770364,385.2155906
"38",15113907424,"true","2017-08-12 06:32:00.000",-53.98547074,48.35226814,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278829.246298829,5359762.18463767,"22N",39,-52.52871196,334.852177,387.7905829
"39",15113907427,"true","2017-08-12 18:00:00.000",-53.98360969,48.35216176,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278966.642342754,5359744.99127003,"22N",40,-95.7922454,830.1332483,1515.813445
"40",15113907431,"true","2017-08-13 11:33:00.000",-53.986184,48.34966793,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278765.147604596,5359475.26922803,"22N",41,302.0733668,1823.024202,2776.385934
"41",15113907434,"true","2017-08-15 08:51:00.000",-53.98354553,48.35220281,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278971.572655372,5359749.36826972,"22N",42,-0.916569619,643.0622402,794.3944734
"42",15113907439,"true","2017-08-16 08:56:00.000",-53.98436958,48.35207645,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278909.984338613,5359737.70289152,"22N",43,-606.5311752,1367.163466,1866.678635
"43",15113907442,"true","2017-08-17 10:01:00.000",-53.98442308,48.35149041,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278903.484040091,5359672.72762479,"22N",44,88.63080829,145.9697981,242.963582
"44",15113907445,"true","2017-08-18 15:51:00.000",-53.98544056,48.35082842,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278825.246414595,5359602.09400935,"22N",45,509.1415503,1122.440921,1175.369099
"45",15113907448,"true","2017-08-19 13:38:00.000",-53.98422589,48.35154719,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278918.336844883,5359678.46884818,"22N",46,113.5939012,129.3835287,236.5615794
"46",15113907454,"true","2017-08-20 09:03:00.000",-53.98383565,48.35188051,"radio-transmitter",NA,149.452,149.452,"Snowshoe Hare Space Use - Razimuth",278948.686961644,5359714.38642016,"22N",47,103.3741403,1172.80842,731.2974176
