"","COV.x.y","cpid","pid.x","COV.x.x","COV.y.y","id.x","pid.y","id.y","indiv","obs_id","date","long","lat"
"1",-2992.02987102271,"149.394,1","1",5544.70849638849,6212.19138640096,"149.394","1","149.394","149.394","1",2017-06-27 19:06:25,-53.9866715052145,48.3555578130077
"2",-293.254176908545,"149.394,2","2",2187.50493065896,3169.00364331839,"149.394","2","149.394","149.394","2",2017-06-28 07:00:56,-53.984647914223,48.352923908726
"3",3843.11731273845,"149.394,3","3",7629.75633065402,4446.94437593066,"149.394","3","149.394","149.394","3",2017-07-16 17:19:57,-53.988472317094,48.3502898009656
"4",-1218.53191702782,"149.394,4","4",1288.38291716364,2937.84232514724,"149.394","4","149.394","149.394","4",2017-07-19 09:08:39,-53.9849565875458,48.3500030672613
"5",516.868375523206,"149.394,5","5",756.164061673519,2339.16237502932,"149.394","5","149.394","149.394","5",2017-07-19 16:33:57,-53.9855355495979,48.3506319390863
"6",4033.58088078922,"149.394,6","6",6867.69183922905,5319.21598024472,"149.394","6","149.394","149.394","6",2017-07-22 10:26:31,-53.9887370863848,48.35014456153
"7",752.822144090084,"149.394,7","7",1808.65033714857,1602.12434547048,"149.394","7","149.394","149.394","7",2017-07-24 11:56:21,-53.9868805484446,48.3502836456686
"8",836.428896173649,"149.394,8","8",679.774716585793,1665.83232581398,"149.394","8","149.394","149.394","8",2017-07-27 16:01:26,-53.9873633741775,48.3518680800944
"9",3116.29985635441,"149.394,9","9",4699.37177808645,5376.1278903088,"149.394","9","149.394","149.394","9",2017-07-29 14:00:01,-53.988489280521,48.3500729296543
"10",678.479755528392,"149.394,10","10",1137.53349261029,4788.18249415367,"149.394","10","149.394","149.394","10",2017-08-03 16:47:39,-53.9849884715576,48.3490723015714
"11",4480.9931865022,"149.394,11","11",6637.8512363596,5974.51263394698,"149.394","11","149.394","149.394","11",2017-08-11 06:23:58,-53.9854647489879,48.3483385165583
"12",-84.998082700547,"149.394,12","12",5001.14402024916,5947.45797679989,"149.394","12","149.394","149.394","12",2017-08-13 11:32:46,-53.9905060684736,48.3468298691942
"13",-832.719882209134,"149.394,13","13",2270.98393154795,1277.01466680248,"149.394","13","149.394","149.394","13",2017-08-15 08:56:17,-53.9841613299107,48.3494874427589
"14",1057.84949942586,"149.394,14","14",3842.06834081565,5893.14726209085,"149.394","14","149.394","149.394","14",2017-08-16 08:42:11,-53.9890435559904,48.3475876817927
"15",2365.64447179316,"149.394,15","15",4026.52071463496,13091.687616834,"149.394","15","149.394","149.394","15",2017-08-18 16:09:24,-53.9863477259721,48.346562032728
"16",5291.56328095714,"149.394,16","16",9181.84569169414,7610.40729814424,"149.394","16","149.394","149.394","16",2017-08-19 13:32:53,-53.9886560245596,48.347709702278
"17",4613.29793915373,"149.394,17","17",9322.50666246867,6603.19704795595,"149.394","17","149.394","149.394","17",2017-08-20 08:59:36,-53.9882422305054,48.3478098597171
"18",1188.93907981134,"149.394,18","18",2384.81586545419,5336.19271265943,"149.394","18","149.394","149.394","18",2017-08-22 13:22:25,-53.9848181183098,48.3489144176651
"19",1947.61436574434,"149.394,19","19",5059.81305458631,8625.5303207023,"149.394","19","149.394","149.394","19",2017-08-23 10:15:47,-53.9889873389241,48.3476120351252
"20",2087.48759936289,"149.394,20","20",5081.03660406712,9362.12188108555,"149.394","20","149.394","149.394","20",2017-08-24 09:19:46,-53.9895591116219,48.3474513877558
"21",3138.63690916275,"149.394,21","21",3878.32692490524,9589.7807192898,"149.394","21","149.394","149.394","21",2017-08-29 14:08:24,-53.9903021975967,48.3486841241856
"22",3398.83114468274,"149.394,22","22",3217.06890097665,14621.3669508834,"149.394","22","149.394","149.394","22",2017-08-30 10:10:48,-53.9908774367285,48.3486492523581
"23",1303.48815164648,"149.394,23","23",3350.9601927992,7529.06297139188,"149.394","23","149.394","149.394","23",2017-08-31 13:44:42,-53.9878852643532,48.3486320471812
"24",2231.76996184761,"149.394,24","24",4803.45353828203,8135.46008321912,"149.394","24","149.394","149.394","24",2017-09-01 09:07:22,-53.9892552519778,48.348482671014
"25",541.15792543616,"149.452,1","1",1698.20460840093,2454.28506425405,"149.452","1","149.452","149.452","1",2017-07-16 10:22:58,-53.9858096712405,48.3497082239485
"26",-72.6374149596869,"149.452,2","2",569.836463002062,396.83656671729,"149.452","2","149.452","149.452","2",2017-07-16 17:32:27,-53.9858812339975,48.3509787324391
"27",319.189141756491,"149.452,3","3",306.76114352212,708.881411712413,"149.452","3","149.452","149.452","3",2017-07-19 09:17:12,-53.9841821672158,48.351315872651
"28",622.049463100838,"149.452,4","4",1134.22791860824,849.659761590794,"149.452","4","149.452","149.452","4",2017-07-19 16:38:51,-53.9848314248341,48.3514539194306
"29",69.8992882665975,"149.452,5","5",312.832340581052,286.908835747182,"149.452","5","149.452","149.452","5",2017-07-22 10:34:49,-53.9843802212536,48.3511170890121
"30",-174.551083342594,"149.452,6","6",716.098228580953,1042.21833970441,"149.452","6","149.452","149.452","6",2017-07-24 09:44:36,-53.9828925668267,48.3520002972952
"31",-116.496532046771,"149.452,7","7",117.266924460743,613.331436221309,"149.452","7","149.452","149.452","7",2017-07-27 16:05:47,-53.9843188884062,48.3510641471274
"32",35.7792555592597,"149.452,8","8",232.882589312393,256.004041918238,"149.452","8","149.452","149.452","8",2017-07-29 12:39:15,-53.9846672191774,48.3513503714825
"33",16.7743031200998,"149.452,9","9",477.453660727735,419.442349100517,"149.452","9","149.452","149.452","9",2017-08-03 16:54:44,-53.9862857287792,48.3513920983259
